season,player_name,pts,ts_pct,usg_pct
1996-97,Michael Jordan,29.6,0.567,0.331
1996-97,Karl Malone,27.4,0.6,0.325
1996-97,Glen Rice,26.8,0.605,0.272
1996-97,Shaquille O'Neal,26.2,0.556,0.314
1996-97,Mitch Richmond,25.9,0.578,0.294
1997-98,Michael Jordan,28.7,0.533,0.336
1997-98,Shaquille O'Neal,28.3,0.587,0.331
1997-98,Karl Malone,27,0.597,0.318
1997-98,Glenn Robinson,23.4,0.522,0.289
1997-98,Mitch Richmond,23.2,0.569,0.276
1998-99,Allen Iverson,26.8,0.508,0.323
1998-99,Shaquille O'Neal,26.3,0.584,0.325
1998-99,Karl Malone,23.8,0.577,0.305
1998-99,Shareef Abdur-Rahim,23,0.53,0.288
1998-99,Keith Van Horn,21.8,0.519,0.283
1999-00,Shaquille O'Neal,29.7,0.578,0.313
1999-00,Allen Iverson,28.4,0.496,0.339
1999-00,Grant Hill,25.8,0.565,0.304
1999-00,Vince Carter,25.7,0.543,0.299
1999-00,Karl Malone,25.5,0.582,0.318
2000-01,Allen Iverson,31.1,0.518,0.354
2000-01,Jerry Stackhouse,29.8,0.521,0.348
2000-01,Shaquille O'Neal,28.7,0.574,0.318
2000-01,Kobe Bryant,28.5,0.552,0.315
2000-01,Vince Carter,27.6,0.551,0.305
2001-02,Allen Iverson,31.4,0.489,0.371
2001-02,Shaquille O'Neal,27.2,0.59,0.318
2001-02,Paul Pierce,26.1,0.57,0.293
2001-02,Tracy McGrady,25.6,0.532,0.311
2001-02,Tim Duncan,25.5,0.576,0.291
2002-03,Tracy McGrady,32.1,0.564,0.35
2002-03,Kobe Bryant,30,0.55,0.329
2002-03,Allen Iverson,27.6,0.5,0.327
2002-03,Shaquille O'Neal,27.5,0.602,0.303
2002-03,Paul Pierce,25.9,0.532,0.329
2003-04,Tracy McGrady,28,0.526,0.33
2003-04,Allen Iverson,26.4,0.478,0.343
2003-04,Peja Stojakovic,24.2,0.624,0.24
2003-04,Kevin Garnett,24.2,0.547,0.294
2003-04,Kobe Bryant,24,0.551,0.286
2004-05,Allen Iverson,30.7,0.532,0.347
2004-05,Kobe Bryant,27.6,0.563,0.316
2004-05,LeBron James,27.2,0.554,0.297
2004-05,Dirk Nowitzki,26.1,0.578,0.286
